dataset_name,avg_MAE_15min,avg_RMSE_15min,avg_MAE_30min,avg_RMSE_30min,avg_MAE_60min,avg_RMSE_60min,avg_MAE_90min,avg_RMSE_90min
14_HUPA-UCM,12.28329755783081,16.788394298553467,18.192060470581055,24.950259170532227,30.033693771362305,39.766332168579105,38.15828514099121,49.32187591552734
17_T1DM-UOM,13.428438467137953,18.40998716915355,19.64477881263284,26.99539431403665,29.35162645227769,39.06639413272633,35.048093010397515,45.8373956119313
18_Bris-T1D Open,10.450983500480652,16.118344831466676,15.31587474346161,23.60493516921997,23.478581285476686,35.104569339752196,28.41205725669861,41.72469940185547
19_AZT1D,12.538315734863282,16.99133590698242,18.04201343536377,24.437936859130858,26.778468322753906,35.39205207824707,31.944194946289063,41.76786155700684
2_D1NAMO,17.047619887760707,20.87987014225551,25.079034192221506,31.024367604936874,39.920333181108745,46.78999246869768,49.88898222787039,57.509186335972366
BIG_IDEA_LAB,8.216728299856186,12.176639020442963,11.37450248003006,17.121580719947815,14.4361971616745,21.131006121635437,15.41142475605011,21.96954119205475
CGMacros,9.388099522060818,13.539539845784505,12.620158174302842,18.48833819495307,15.945411936442058,23.035028733147517,18.09219298892551,25.45479827457004
ShanghaiT1DM,10.1908487478892,13.286791483561197,15.237271229426065,19.903730471928913,25.723722457885742,33.00670067469279,33.48559236526489,42.51014105478922
ShanghaiT2DM,7.706219083130962,10.62338284290198,11.42648301943384,16.068302862571947,17.904676114669954,24.991856839921738,22.423329237735633,30.396728005072084
UCHTT1DM,9.617243475384182,13.701583014594185,13.099205361472237,18.311500840716892,17.211436722013687,22.621099763446384,20.194972859488594,25.344887680477566
