dataset_name,avg_MAE_15min,avg_RMSE_15min,avg_MAE_30min,avg_RMSE_30min,avg_MAE_60min,avg_RMSE_60min,avg_MAE_90min,avg_RMSE_90min
14_HUPA-UCM,10.74822177886963,14.506077747344971,17.4323996925354,23.540139465332032,29.122164802551268,38.65360198974609,37.873061904907225,48.886907730102536
17_T1DM-UOM,11.976089309243594,16.47093043607824,18.832061991972083,25.76987648010254,28.87647752200856,38.54477085786707,35.00683279598461,45.83579545862534
18_Bris-T1D Open,9.22152794599533,14.221857357025147,14.642185068130493,22.381032133102416,23.011023736000062,34.39935932159424,28.35221438407898,41.5962794303894
19_AZT1D,11.178708362579346,15.329346771240234,17.256032485961914,23.332715606689455,26.421242294311522,34.76617691040039,32.03276206970215,41.67676452636719
2_D1NAMO,14.16465357371739,18.815689086914062,22.49984277997698,29.918114798409597,36.80259731837681,46.37552152361189,42.67647116524832,54.18161228724888
BIG_IDEA_LAB,7.967767804861069,11.884441316127777,11.856691688299179,17.624274134635925,15.267882883548737,22.20306646823883,16.497132420539856,23.341781198978424
CGMacros,8.779537465837267,12.635801802741156,12.828309366438123,18.587112151251898,16.879579416910808,23.984328948126898,19.313453102111815,26.769924608866372
ShanghaiT1DM,8.441067139307657,10.847626884778341,13.768010457356771,17.835251808166504,23.86195453008016,30.639233112335205,31.263246059417725,39.95148547490438
ShanghaiT2DM,6.433316371440887,8.916794955730438,10.606889898777007,14.839799442291259,17.397418327331543,24.071436729431152,22.37304473400116,30.071248512268067
UCHTT1DM,12.985998976230622,16.71252760887146,19.652478456497192,24.519682621955873,24.540158128738405,29.816218185424805,23.70978400707245,28.739893317222595
