dataset_name,avg_MAE_15min,avg_RMSE_15min,avg_MAE_30min,avg_RMSE_30min,avg_MAE_60min,avg_RMSE_60min,avg_MAE_90min,avg_RMSE_90min
14_HUPA-UCM,6.306664600372314,9.321197710037232,13.254091663360596,18.833966064453126,25.565765972137452,35.05880992889404,35.01043125152588,47.0659171295166
17_T1DM-UOM,8.563474767348346,12.684731090770049,16.241539786843692,23.182865479413202,28.255415074965534,38.778759114882526,35.94895542369169,48.278755861170154
18_Bris-T1D Open,6.58150053024292,10.81114320755005,12.393535852432251,19.906557893753053,22.074491262435913,34.26785411834717,28.53208656311035,43.510824298858644
19_AZT1D,9.039289646148681,13.091668167114257,15.825881271362304,22.08103759765625,26.96058578491211,36.131384201049805,34.36334747314453,45.22868591308594
1_Hall2018,10.754456964032403,12.926281250756363,19.733791910368822,23.019693851470947,27.844912117925183,31.938069606649464,28.037876408675622,32.169572780872215
2_D1NAMO,7.5113301277160645,11.189856618642807,15.705099821090698,22.59069639444351,31.089881360530853,42.103729486465454,41.39767688512802,54.76357400417328
3_Colas2019,9.762844811551846,12.482193984664404,14.80800818823851,17.80939553104914,17.269119148070995,21.330462591006206,18.847643414368996,22.726110982207153
BIG_IDEA_LAB,5.801673769950867,8.969060689210892,10.560561925172806,16.276431798934937,15.732997000217438,23.653492212295532,17.391904771327972,25.519341826438904
CGMacros,7.308077134026421,10.725936211480034,12.57128767437405,18.64130802154541,19.037264400058323,27.352526579962838,22.259654723273382,31.124648412068684
ShanghaiT1DM,4.4331769943237305,6.045575261116028,10.095001459121704,13.75572141011556,20.487134218215942,27.4622704188029,28.953084627787273,38.3135666847229
ShanghaiT2DM,3.980354528427124,5.6485370659828185,8.72999718427658,12.482833814620971,16.50380871772766,23.327798933982848,22.175426225662232,30.635043997764587
UCHTT1DM,8.264001750946045,12.393595933914185,13.710183024406433,19.978834915161134,19.699543023109435,27.57586450576782,23.419716906547546,31.429518222808838
