dataset,Moirai2.0,Timer,TimesFM,GPFormer,Moirai2.0_n,Timer_n,TimesFM_n,GPFormer_n
OpenAccess,,,,,,,,
BIG IDEAS Lab,15.64 (3.04),16.46 (2.88),15.22 (2.89),18.43 (3.47),16.0,16.0,16.0,16.0
ShanghaiT1DM,12.95 (3.54),14.36 (3.86),12.10 (3.03),14.87 (4.09),12.0,12.0,12.0,12.0
ShanghaiT2DM,11.84 (3.42),12.50 (3.44),11.40 (3.16),14.16 (3.70),99.0,99.0,99.0,99.0
CGMacros,17.93 (4.49),18.32 (4.87),16.73 (4.31),20.56 (5.16),45.0,45.0,45.0,45.0
UCHTT1DM,15.84 (9.01),15.84 (8.89),14.53 (8.46),17.83 (10.23),18.0,18.0,18.0,18.0
HUPA-UCM,18.58 (5.41),19.89 (5.87),17.86 (5.13),20.21 (5.02),25.0,25.0,25.0,25.0
T1DM-UOM,23.33 (4.65),23.84 (4.84),22.34 (4.70),24.04 (5.15),17.0,17.0,17.0,17.0
Bris-T1D,20.26 (5.97),20.71 (5.94),19.27 (5.71),21.23 (5.75),20.0,20.0,20.0,20.0
AZT1D,22.35 (3.73),22.55 (3.69),20.86 (3.35),22.52 (3.66),25.0,25.0,25.0,25.0
Hall2018,14.05 (6.14),14.50 (6.03),13.40 (5.85),15.29 (7.02),48.0,48.0,48.0,48.0
DINAMO,19.90 (10.97),21.74 (12.80),19.87 (12.23),22.90 (13.37),7.0,7.0,7.0,7.0
Colas2019,,,,,0.0,0.0,0.0,0.0
Combined Open,15.99 (6.26),16.60 (6.36),15.20 (5.96),17.82 (6.48),332.0,332.0,332.0,332.0
ControlledAccess,,,,,,,,
OhioT1DM,21.30 (3.00),21.83 (2.89),20.59 (2.77),21.43 (2.81),12.0,12.0,12.0,12.0
DiaTrend,27.38 (5.15),27.72 (5.14),25.93 (4.77),27.25 (4.85),54.0,54.0,54.0,54.0
T1DEXI,22.28 (5.29),22.68 (5.41),21.24 (4.96),22.80 (5.22),493.0,493.0,493.0,493.0
Combined All,20.23 (6.63),20.71 (6.66),19.27 (6.27),21.19 (6.33),891.0,891.0,891.0,891.0
