dataset,Moirai2.0,Timer,TimesFM,GPFormer,Moirai2.0_n,Timer_n,TimesFM_n,GPFormer_n
OpenAccess,,,,,,,,
BIG IDEAS Lab,15.50 (3.12),15.51 (2.63),15.26 (2.92),15.56 (2.58),16.0,16.0,16.0,16.0
ShanghaiT1DM,11.73 (2.91),11.81 (3.14),12.17 (3.27),13.62 (4.19),12.0,12.0,12.0,12.0
ShanghaiT2DM,11.16 (3.30),11.29 (3.25),11.25 (3.16),11.80 (3.33),99.0,99.0,99.0,99.0
CGMacros,17.96 (4.60),17.45 (4.15),16.99 (4.41),17.60 (4.25),45.0,45.0,45.0,45.0
UCHTT1DM,16.40 (9.07),15.93 (7.27),15.34 (8.47),16.16 (8.25),18.0,18.0,18.0,18.0
HUPA-UCM,18.12 (5.30),17.89 (5.18),17.87 (5.01),18.55 (4.77),25.0,25.0,25.0,25.0
T1DM-UOM,23.23 (4.54),22.27 (4.85),22.38 (4.48),21.29 (4.30),17.0,17.0,17.0,17.0
Bris-T1D,20.32 (6.11),19.45 (5.86),19.53 (5.60),18.91 (5.17),20.0,20.0,20.0,20.0
AZT1D,22.71 (3.98),21.54 (3.96),21.30 (3.51),20.60 (3.59),25.0,25.0,25.0,25.0
Hall2018,14.79 (5.87),13.91 (5.60),13.62 (5.82),14.00 (5.44),48.0,48.0,48.0,48.0
DINAMO,18.86 (11.45),19.36 (12.30),19.82 (11.57),19.33 (11.48),7.0,7.0,7.0,7.0
Colas2019,,,,,0.0,0.0,0.0,0.0
Combined Open,15.85 (6.38),15.47 (5.97),15.32 (6.00),15.63 (5.68),332.0,332.0,332.0,332.0
ControlledAccess,,,,,,,,
OhioT1DM,21.73 (3.13),20.11 (2.79),20.48 (2.63),19.69 (2.87),12.0,12.0,12.0,12.0
DiaTrend,27.68 (5.13),26.10 (4.86),26.27 (4.73),25.85 (5.32),54.0,54.0,54.0,54.0
T1DEXI,22.46 (5.30),21.37 (5.05),21.49 (4.96),20.46 (4.88),493.0,493.0,493.0,493.0
Combined All,20.30 (6.76),19.44 (6.29),19.47 (6.32),18.98 (5.93),891.0,891.0,891.0,891.0
